MediaId,Media Name,Sentence Id,Sentence,Positive Score,Negative Score,Neutral Score,Compound Score
fa86a7434c56,October 11 2023 Civil War,42," . V VI VII . vVIII . IX. v X. v XI. v. vXII. v. XIII. XIV. XV. . vXVI. . Builder Builds Royalty Builds Builders Grown Royaltys Grown Extra Builder Grows Metamorphically he is catch caught Royaltys Grown Groan Legend Says AR Y ZAR Y CAR Y X It is implicatively implicative that OK ADASAF Am I, I Am STOP Array Stop Stop, Stop, Stop, Post, Spot, Spot, Pots OK ASKII reset state Sake Finish ObjectX Pls VUXII Chandigarh is a clean city IXUXII Aapko French Aati Hai VUII It's m8 IXUIII Johnny Rowe LOTF The Lord Flies 1984 off of the Animal Farm 1911 XUIII Guy Rich IIIUII Surveillance Helicopter 01 212 Weld t 3411 Additivise Symbols 22 22 22 23Regarding DA Assistant HOST 1 315 215 0639 HOST NAME HRISHI MUKHERJEE Attendant FUZI LFTISI ADDRESS 128 Wellington Street, Confederation Boulevard that is atop the base contract apostmentioned Fuzi is being offered the formal contract Hrishi Mukherjee has proised Fuzi Lftisi 70,000 Dollars in Canada that is to be clear Seventy Thousand Dollars Canadian to Fuzi Lftisi for the annum beginning 2023 to post anna 2024 At a per month basis this number that is 70,000 Dollars has to before dicided beta 12 sections Signed HRISHI MUKHERJEE Script. ",0.087,0.051,0.862,0.7968
fa86a7434c56,October 11 2023 Civil War,43,Sir flattens(EEEEEEEMEEMMEEEZMMMEEEEEEEM(N)).rounds and then clarified that is could mean (MMMMMMMEEEEEEEEEEEEEEEEEEEZ(N)) or conversely (ZEEEEEEEEEEEEEEEEEEEMMMMMMM(N))DA Assistant DA The Constable of the Confederation with their clock were found at the the Bridgehead's Constable of Confederation with their Brother with his clock Under womb new move(chess). ,,,1,
fa86a7434c56,October 11 2023 Civil War,44,"repertoires of ocean currents and galaxy swirls, invisible to the naked repertoires of ocean currents and galaxy swirls, invisible to the naked repertoires of ocean currents and galaxy swirls, invisible to the naked repertoires of ocean currents and galaxy swirls, invisible to the naked September 19 2022 It sure is reigny as hell September 16 2022 Cease the tyranny at once September 16 2022 Nation states are a disaster in the name of humanity September 19 2022 It sure is reigny as hell September 16 2022 Cease the tyranny at once September 16 2022 Nation states are a disaster in the name of humanity September 19 2022 It sure is reigny as hell September 16 2022 Cease the tyranny at once September 16 2022 Nation states are a disaster in the name of humanity September 19 2022 It sure is reigny as hell September 16 2022 Cease the tyranny at once September 16 2022 Nation states are a disaster in the name of humanity September 19 2022 It sure is reigny as hell September 16 2022 Cease the tyranny at once September 16 2022 Nation states are a disaster in the name of humanity September 6 2022 A Blue Sun 8 18 2023 August 20 2022 If I choose to be scared I choose to be scared of nuclear warfare and runaway a.i. ",0.043,0.192,0.765,-0.9928
fa86a7434c56,October 11 2023 Civil War,45,instead of a faulty minister and an authoritarian regime. ,,0.223,0.777,-0.3182
fa86a7434c56,October 11 2023 Civil War,46,"August 20 2022 C 31 West End, Delhi, India June 4 2022 Twitter.com An awareness of unprecedented levels of scopes big and small June 2 2022 The future June 2 2022 Deadfall Junction May 31 2022 Alexander the Great I s May 19 2022 Doubt 1 How man is supposed to fix his own image whence man emerges from thy image and yet man is thy image itself? ",0.056,0.034,0.909,0.3818
fa86a7434c56,October 11 2023 Civil War,47,Resolved I The image of man is immersed in world image.. 8 18 2023 Principal I invL Qd dictates that immediate past preceeds September 6 2022 A Blue Sun 8 18 2023 August 20 2022 If I choose to be scared I choose to be scared of nuclear warfare and runaway a.i. ,0.029,0.139,0.832,-0.743
fa86a7434c56,October 11 2023 Civil War,48,instead of a faulty minister and an authoritarian regime. ,,0.223,0.777,-0.3182
fa86a7434c56,October 11 2023 Civil War,49,"August 20 2022 C 31 West End, Delhi, India June 4 2022 Twitter.com An awareness of unprecedented levels of scopes big and small June 2 2022 The future June 2 2022 Deadfall Junction May 31 2022 Alexander the Great I s May 19 2022 Doubt 1 How man is supposed to fix his own image whence man emerges from thy image and yet man is thy image itself? ",0.056,0.034,0.909,0.3818
fa86a7434c56,October 11 2023 Civil War,50,Resolved I The image of man is immersed in world image.. 8 18 2023 Principal I invL Qd dictates that immediate past preceeds September 6 2022 A Blue Sun 8 18 2023 August 20 2022 If I choose to be scared I choose to be scared of nuclear warfare and runaway a.i. ,0.029,0.139,0.832,-0.743
fa86a7434c56,October 11 2023 Civil War,51,instead of a faulty minister and an authoritarian regime. ,,0.223,0.777,-0.3182
fa86a7434c56,October 11 2023 Civil War,52,"August 20 2022 C 31 West End, Delhi, India June 4 2022 Twitter.com An awareness of unprecedented levels of scopes big and small June 2 2022 The future June 2 2022 Deadfall Junction May 31 2022 Alexander the Great I s May 19 2022 Doubt 1 How man is supposed to fix his own image whence man emerges from thy image and yet man is thy image itself? ",0.056,0.034,0.909,0.3818
fa86a7434c56,October 11 2023 Civil War,53,Resolved I The image of man is immersed in world image.. 8 18 2023 Principal I invL Qd dictates that immediate past preceeds September 6 2022 A Blue Sun 8 18 2023 August 20 2022 If I choose to be scared I choose to be scared of nuclear warfare and runaway a.i. ,0.029,0.139,0.832,-0.743
fa86a7434c56,October 11 2023 Civil War,54,instead of a faulty minister and an authoritarian regime. ,,0.223,0.777,-0.3182
fa86a7434c56,October 11 2023 Civil War,55,"August 20 2022 C 31 West End, Delhi, India June 4 2022 Twitter.com An awareness of unprecedented levels of scopes big and small June 2 2022 The future June 2 2022 Deadfall Junction May 31 2022 Alexander the Great I s May 19 2022 Doubt 1 How man is supposed to fix his own image whence man emerges from thy image and yet man is thy image itself? ",0.056,0.034,0.909,0.3818
fa86a7434c56,October 11 2023 Civil War,56,Resolved I The image of man is immersed in. ,0.175,,0.825,0.1779
fa86a7434c56,October 11 2023 Civil War,57,world image.. 8 18 2023 Principal I invL Qd dictates that immediate past preceeds September 6 2022 A Blue Sun 8 18 2023 August 20 2022 If I choose to be scared I choose to be scared of nuclear warfare and runaway a.i. ,,0.167,0.833,-0.7906
fa86a7434c56,October 11 2023 Civil War,58,instead of a faulty minister and an authoritarian regime. ,,0.223,0.777,-0.3182
fa86a7434c56,October 11 2023 Civil War,59,"August 20 2022 C 31 West End, Delhi, India June 4 2022 Twitter.com An awareness of unprecedented levels of scopes big and small June 2 2022 The future June 2 2022 Deadfall Junction May 31 2022 Alexander the Great I s May 19 2022 Doubt 1 How man is supposed to fix his own image whence man emerges from thy image and yet man is thy image itself? ",0.056,0.034,0.909,0.3818
fa86a7434c56,October 11 2023 Civil War,60,"Resolved I The image of man is immersed in world image.. 8 18 2023 Principal I invL Qd dictates that immediate past preceeds Super Reductionism Super Reductionism Entails Pyramid 1 Pyramid 2 12 Common Room.e crypt.gypt ologyx), ok extends inflection point Joseph Gordon Levitt Abdul Rahman .ex .p e l t Super Relativity is Real Take as Super String Theory is real Take as import global function mv Rotator.attach Rotator.attach Bruce Burlton Bond Willis CNTower .expects Circuit is fried Hello Moto .signal Jedi Base keeps sending signal to the Moon(do k not express(ee supervisor) fenix last ds mechanic ).sell dw i'm here i'm here Super Reductionism Entails Pyramid 1 Pyramid 2 12 Common Room.e crypt.gypt ologyx), ok extends Joseph Gordon Levitt Abdul Rahman .ex .p e l t Super Relativity is Real Take Super String Theory is real import global function mv Rotator.attach Rotator.attach Bruce Burlton Bond Willis CN Tower .expects Circuit is fried .signal Jedi Base keeps sending signal to the Moon(do k not express(ee supervisor) fenix last ds mechanic ).sell dw i'm here i'm here The Clock of the Constable Confederation was found with their Brother The Clock of the Constable Confederation was found with their Brother The company namely Lunar Labs BV has been incorporated as a private procedure The company namely Lunar Labs BV has been incorporated as a private procedure The company namely Lunar Labs BV has been incorporated as a private procedure The company namely Lunar Labs BV has been incorporated as a private procedure The company namely Lunar Labs BV has been incorporated as a private procedure The company namely Lunar Labs BV has been incorporated as a private procedure The company namely Lunar Labs BV has been incorporated as a private procedure The company namely Lunar Labs BV has been incorporated as a private procedure The Constable of Confederation said Probably Terrible and their Brother said No Respect The Constable of Confederation said Probably Terrible and their Brother said No Respect The Constable of Confederation was Clara The Constable of Confederation was Clara The Constable of Confederation within the Bytown District was Andrea Barker's Andrea observed at the Boulevard Confederation by Hrishi Mukherjee who was Not Ready but Observantly Waiting for Terraform henceforth a product of Cornii Magmus The Constable of Confederation within the Bytown District was Andrea Barker's Andrea observed at the Boulevard Confederation by Hrishi Mukherjee who was Not Ready but Observantly Waiting for Terraform henceforth a product of Cornii Magmus Hello, this is Abadi Font Dominion Tavern Clarendon Tavern The Shore The future The image of man is immersed in world image The matrix the human is brought into reproduces itself several manifold through which time dilated spiral twisting test tube as the image it is is the image it was an will d be 18 19 Green Red Light Intermittent Yellow Light Window of Opportunity Frame Ref Red Light. ",0.063,0.024,0.913,0.9435
fa86a7434c56,October 11 2023 Civil War,61,. ,,,1,
fa86a7434c56,October 11 2023 Civil War,62,. ,,,1,
fa86a7434c56,October 11 2023 Civil War,63,. ,,,1,
fa86a7434c56,October 11 2023 Civil War,64, therefore the language must reflect the first principle of QtD. ,,,1,
fa86a7434c56,October 11 2023 Civil War,65,"(the language is immersed within time itself, therefore the usage must reflect the principle of time.). ",,,1,
fa86a7434c56,October 11 2023 Civil War,66,Postulate Io Man shall act in line with the principle of QD1d2. ,,,1,
fa86a7434c56,October 11 2023 Civil War,67,May 19 2022 The matrix the human is brought into reproduces itself several manifold through which time dilated spiral twisting test tube as the image it is is the image it was an will d be. ,,,1,
fa86a7434c56,October 11 2023 Civil War,68,"image .ds image May 19 2022 Arc de Triomphe, Paris, France 319 August 19 2023 Confederation Boulevard, Ottawa, New Canada 320 m. . ",,,1,
fa86a7434c56,October 11 2023 Civil War,69,. ,,,1,
fa86a7434c56,October 11 2023 Civil War,70,. ,,,1,
fa86a7434c56,October 11 2023 Civil War,71, therefore the language must reflect the first principle of QtD. ,,,1,
fa86a7434c56,October 11 2023 Civil War,72,"(the language is immersed within time itself, therefore the usage must reflect the principle of time.). ",,,1,
fa86a7434c56,October 11 2023 Civil War,73,Postulate Io Man shall act in line with the principle of QD1d2. ,,,1,
fa86a7434c56,October 11 2023 Civil War,74,May 19 2022 The matrix the human is brought into reproduces itself several manifold through which time dilated spiral twisting test tube as the image it is is the image it was an will d be. ,,,1,
fa86a7434c56,October 11 2023 Civil War,75,"image .ds image May 19 2022 Arc de Triomphe, Paris, France August 19 2023 Confederation Boulevard, Ottawa, New Canada Man shall act in line with the principle Millenium is yet to strike clock in this city for all its god forsaken Millenium is yet to strike clock in this city for all its god forsaken Millenium is yet to strike clock in this city for all its god forsaken Millenium is yet to strike clock in this city for all its god forsaken Millenium is yet to strike clock in this city for all its god forsaken Millenium is yet to strike clock in this city for all its god forsaken Mister Mukherjee. ",0.103,0.073,0.824,0.6808
fa86a7434c56,October 11 2023 Civil War,76,"Let me be clear, Mister Mukherjee, a vigilante lives Mister Mukherjee. ",0.206,,0.794,0.3818
fa86a7434c56,October 11 2023 Civil War,77,"Let me be clear, Mister Mukherjee, a vigilante lives Mister Mukherjee. ",0.206,,0.794,0.3818
fa86a7434c56,October 11 2023 Civil War,78,"Let me be clear, Mister Mukherjee, a vigilante lives Mister Mukherjee. ",0.206,,0.794,0.3818
fa86a7434c56,October 11 2023 Civil War,79,"Let me be clear, Mister Mukherjee, a vigilante lives Mister Mukherjee. ",0.206,,0.794,0.3818
fa86a7434c56,October 11 2023 Civil War,80,"Let me be clear, Mister Mukherjee, a vigilante lives Mister Mukherjee. ",0.206,,0.794,0.3818
fa86a7434c56,October 11 2023 Civil War,81,"Let me be clear, Mister Mukherjee, a vigilante lives Moon One Align all floating seats such that you reach the floating seat which is the spacecraft Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon Nonna Flat Earth John Wick Day Yester Yester Day All planets in the one planet Centre Block Visi Avisi junior Moon One Align all floating seats such that you reach the floating seat which is the spacecraft Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon Nonna Flat Earth John Wick Day Yester Yester Day All planets in the one planet Centre Block Visi Avisi junior Origin Rock Rock XZY TQ CC 291 19 2022 19 2022 16 2022 16 2022 6 2022 8 18 2023 20 2022 20 2022 4 2022 2 2022 2022 31 202219 2022 8 18 2023 QTD QD1D2 19 2022 19 2022 319 320 Drinking sweet nectar frometh fountain Moon One. ",0.044,0.032,0.924,
fa86a7434c56,October 11 2023 Civil War,82,Align all floating seats such that you reach the floating seat which is the spacecraft. ,0.073,,0.927,0.0258
fa86a7434c56,October 11 2023 Civil War,83,Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon n Nonna Flat Earth. ,,,1,
fa86a7434c56,October 11 2023 Civil War,84,John Wick Day Yester Yester Day. ,,,1,
fa86a7434c56,October 11 2023 Civil War,85,All planets in the one planet. ,,,1,
fa86a7434c56,October 11 2023 Civil War,86,Centre Block Visi Avisi. . ,,0.42,0.58,-0.4404
fa86a7434c56,October 11 2023 Civil War,87, junior Moon One. ,,,1,
fa86a7434c56,October 11 2023 Civil War,88,Align all floating seats such that you reach the floating seat which is the spacecraft. ,0.073,,0.927,0.0258
fa86a7434c56,October 11 2023 Civil War,89,Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon n Nonna Flat Earth. ,,,1,
fa86a7434c56,October 11 2023 Civil War,90,John Wick Day Yester Yester Day. ,,,1,
fa86a7434c56,October 11 2023 Civil War,91,All planets in the one planet. ,,,1,
fa86a7434c56,October 11 2023 Civil War,92,Centre Block Visi Avisi. . ,,0.42,0.58,-0.4404
fa86a7434c56,October 11 2023 Civil War,93, junior Moon One. ,,,1,
fa86a7434c56,October 11 2023 Civil War,94,Align all floating seats such that you reach the floating seat which is the spacecraft. ,0.073,,0.927,0.0258
fa86a7434c56,October 11 2023 Civil War,95,Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon n Nonna Flat Earth. ,,,1,
fa86a7434c56,October 11 2023 Civil War,96,John Wick Day Yester Yester Day. ,,,1,
fa86a7434c56,October 11 2023 Civil War,97,All planets in the one planet. ,,,1,
fa86a7434c56,October 11 2023 Civil War,98,Centre Block Visi Avisi. . ,,0.42,0.58,-0.4404
fa86a7434c56,October 11 2023 Civil War,99, junior Moon One. ,,,1,
fa86a7434c56,October 11 2023 Civil War,100,Align. ,,,1,
fa86a7434c56,October 11 2023 Civil War,101,all floating seats such that you reach the floating seat which is the spacecraft. ,0.078,,0.922,0.0258
fa86a7434c56,October 11 2023 Civil War,102,Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon n Nonna Flat Earth. ,,,1,
fa86a7434c56,October 11 2023 Civil War,103,John Wick Day Yester Yester Day. ,,,1,
fa86a7434c56,October 11 2023 Civil War,104,All planets in the one planet. ,,,1,
fa86a7434c56,October 11 2023 Civil War,105,Centre Block Visi Avisi. . ,,0.42,0.58,-0.4404
fa86a7434c56,October 11 2023 Civil War,106, junior Moon One. ,,,1,
fa86a7434c56,October 11 2023 Civil War,107,Align all floating seats such that you reach the floating seat which is the spacecraft. ,0.073,,0.927,0.0258
fa86a7434c56,October 11 2023 Civil War,108,Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon n Nonna Flat Earth. ,,,1,
fa86a7434c56,October 11 2023 Civil War,109,John Wick Day Yester Yester Day. ,,,1,
fa86a7434c56,October 11 2023 Civil War,110,All planets in the one planet. ,,,1,
fa86a7434c56,October 11 2023 Civil War,111,Centre Block Visi Avisi. . ,,0.42,0.58,-0.4404
fa86a7434c56,October 11 2023 Civil War,112, junior Moon One. ,,,1,
fa86a7434c56,October 11 2023 Civil War,113,Align all floating seats such that you reach the floating seat which is the spacecraft. ,0.073,,0.927,0.0258
fa86a7434c56,October 11 2023 Civil War,114,Build the final house overflow from the AOM Point Map Scheme such that is the base on Earth Moon n Nonna Flat Earth. ,,,1,
fa86a7434c56,October 11 2023 Civil War,115,John Wick Day Yester Yester Day. ,,,1,
fa86a7434c56,October 11 2023 Civil War,116,All planets in the one planet. ,,,1,
fa86a7434c56,October 11 2023 Civil War,117,Centre Block Visi Avisi. . ,,0.42,0.58,-0.4404
fa86a7434c56,October 11 2023 Civil War,118, junior MS Edge is a new and novel term I came across whence a whiles ago. ,0.133,,0.867,0.3182
fa86a7434c56,October 11 2023 Civil War,119,Another MS Edge is a new and novel term I came across whence a whiles ago. ,0.133,,0.867,0.3182
fa86a7434c56,October 11 2023 Civil War,120,Another MS Edge is a new and novel term I came across whence a whiles ago. ,0.133,,0.867,0.3182
fa86a7434c56,October 11 2023 Civil War,121,Another MS Edge is a new and novel term I came across whence a whiles ago. ,0.133,,0.867,0.3182
fa86a7434c56,October 11 2023 Civil War,122,Another MS Edge is a new and novel term I came across whence a whiles ago. ,0.133,,0.867,0.3182
fa86a7434c56,October 11 2023 Civil War,123,Another MS Edge is a new and novel term I came across whence a whiles ago. ,0.133,,0.867,0.3182
fa86a7434c56,October 11 2023 Civil War,124,"Another Nation states are a disaster in the name of humanity OK drowned OK Done Frankenstein 09 90 Hurdman Quantu m92 Greenboro Quantum Leap Augustus Hrishi Augustus Hrishi origin,rock rock . ",0.144,0.196,0.661,-0.4826
fa86a7434c56,October 11 2023 Civil War,125," x z y tq cc ,291.,. September 19 2022 Drinking sweet nectar frometh fountain origin,rock rock x z y tq cc ,291.,. ",0.125,,0.875,0.4588
fa86a7434c56,October 11 2023 Civil War,126," September 19 2022 Drinking sweet nectar frometh fountain predecessors of the Nineteenth Era and the The Gotham District haven predecessors of the Nineteenth Era and the The Gotham District haven predecessors of the Nineteenth Era and the The Gotham District haven predecessors of the Nineteenth Era and the The Gotham District haven predecessors of the Nineteenth Era and the The Gotham District haven predecessors of the Nineteenth Era and the The Gotham District haven Qd dictates that immediate past preceeds Regarding DA Assistant Host 1 315 215 0639 Host Name Hrishi Mukherjee Attendant Fuzi Lftisi Address 128 Wellington Street, Confederation Boulevard Atop the base contract apostmentioned, Fuzi is being offered the formaling contract. ",0.026,,0.974,0.4588
fa86a7434c56,October 11 2023 Civil War,127,"Hrishi Mukherjee has proised(m) Fuzi Lftisi 70,000 Dollars in Canadian, that is, to be clear, Seventy Thousand Dollars Canadian to Fuzi Lftisi for the whole year annum beginning 2023 to annum 2024. ",0.077,,0.923,0.3818
fa86a7434c56,October 11 2023 Civil War,128,"At a per month basis, this number, that is 70,000 Dollars has to before divided beta 12 sections. ",0.075,,0.925,0.0964
fa86a7434c56,October 11 2023 Civil War,129,"Signed Hrishi Mukherjee script Sir flatten(EEEEEEEMEEMMEEEZMMMEEEEEEEM(N)).round Regarding DA Assistant Host 1 315 215 0639 Host Name Hrishi Mukherjee Attendant Fuzi Lftisi Address 128 Wellington Street, Confederation Boulevard Atop the base contract apostmentioned, Fuzi is being offered the formaling contract. ",,,1,
fa86a7434c56,October 11 2023 Civil War,130,"Hrishi Mukherjee has proised(m) Fuzi Lftisi 70,000 Dollars in Canadian, that is, to be clear, Seventy Thousand Dollars Canadian to Fuzi Lftisi for the whole year annum beginning 2023 to annum 2024. ",0.077,,0.923,0.3818
fa86a7434c56,October 11 2023 Civil War,131,"At a per month basis, this number, that is 70,000 Dollars has to before divided beta 12 sections. ",0.075,,0.925,0.0964
fa86a7434c56,October 11 2023 Civil War,132,"Signed Hrishi Mukherjee script Sir flatten(EEEEEEEMEEMMEEEZMMMEEEEEEEM(N)).round repertoires of ocean currents and galaxy swirls, invisible to the naked repertoires of ocean currents and galaxy swirls, invisible to the naked. ",,,1,
fa86a7434c56,October 11 2023 Civil War,133,language past present future are evoiquant within dense immediate future yet both language past present future are evoiquant within dense immediate future yet both language past present future are evoiquant within dense immediate future yet both language past present future are evoiquant within dense in all of us playing the chase of catch at unprecedented speed of realization. ,0.031,,0.969,0.2023
fa86a7434c56,October 11 2023 Civil War,134,"Hrishi Mukherjee, A Name to have contended with. ",,,1,
fa86a7434c56,October 11 2023 Civil War,135,"A name that metamorphically hides itself in thy face as it surfaces above the smirk with dear sister Clara having had drowned in her own brotherly fantasies. William H. Lister, a man of men and men at the Bridgehead mark from the dog shooting rock off at the latest tapestery. ",0.047,0.101,0.851,-0.4588
fa86a7434c56,October 11 2023 Civil War,136,"Mike, Mr. Payne, the well known Max Payne intersection Joseph Gordon Levitt at Egyptian Common Room Confederation Boulevard. ",0.11,,0.89,0.2732
fa86a7434c56,October 11 2023 Civil War,137,"Lyna, Louba, the tractable Parisienne nightmare What do you want Stephen.. Are you a Ghost? ",0.078,0.139,0.783,-0.25
fa86a7434c56,October 11 2023 Civil War,138," Bruce Wayne Enterprise n Conglomerate .anchor Matter and Dawn, What about Dusk? ",0.091,,0.909,0.0258
fa86a7434c56,October 11 2023 Civil War,139,Did you forget in all of us playing the chase of catch at unprecedented speed of realization. ,0.096,0.102,0.802,-0.0258
fa86a7434c56,October 11 2023 Civil War,140,"Hrishi Mukherjee, A Name to have contended with. ",,,1,
fa86a7434c56,October 11 2023 Civil War,141,"A name that metamorphically hides itself in thy face as it surfaces above the smirk with dear sister Clara having had drowned in her own brotherly fantasies. William H. Lister, a man of men and men at the Bridgehead mark from the dog shooting rock off at the latest tapestery. ",0.047,0.101,0.851,-0.4588
fa86a7434c56,October 11 2023 Civil War,142,"Mike, Mr. Payne, the well known Max Payne intersection Joseph Gordon Levitt at Egyptian Common Room Confederation Boulevard. ",0.11,,0.89,0.2732
fa86a7434c56,October 11 2023 Civil War,143,"Lyna, Louba, the tractable Parisienne nightmare What do you want Stephen.. Are you a Ghost? ",0.078,0.139,0.783,-0.25
fa86a7434c56,October 11 2023 Civil War,144," Bruce Wayne Enterprise n Conglomerate .anchor Matter and Dawn, What about Dusk? ",0.091,,0.909,0.0258
fa86a7434c56,October 11 2023 Civil War,145,Did you forget in all of us playing the chase of catch at unprecedented speed of realization. ,0.096,0.102,0.802,-0.0258
fa86a7434c56,October 11 2023 Civil War,146,"Hrishi Mukherjee, A Name to have contended with. ",,,1,
fa86a7434c56,October 11 2023 Civil War,147,"A name that metamorphically hides itself in thy face as it surfaces above the smirk with dear sister Clara having had drowned in her own brotherly fantasies. William H. Lister, a man of men and men at the Bridgehead mark from the dog shooting rock off at the latest tapestery. ",0.047,0.101,0.851,-0.4588
fa86a7434c56,October 11 2023 Civil War,148,"Mike, Mr. Payne, the well known Max Payne intersection Joseph Gordon Levitt at Egyptian Common Room Confederation Boulevard. ",0.11,,0.89,0.2732
fa86a7434c56,October 11 2023 Civil War,149,"Lyna, Louba, the tractable Parisienne nightmare What do you want Stephen.. Are you a Ghost? ",0.078,0.139,0.783,-0.25
fa86a7434c56,October 11 2023 Civil War,150," Bruce Wayne Enterprise n Conglomerate .anchor Matter and Dawn, What about Dusk? ",0.091,,0.909,0.0258
fa86a7434c56,October 11 2023 Civil War,151,Did you forget in all of us playing the chase of catch at unprecedented speed of realization. ,0.096,0.102,0.802,-0.0258
fa86a7434c56,October 11 2023 Civil War,152,"Hrishi Mukherjee, A Name to have contended with. ",,,1,
fa86a7434c56,October 11 2023 Civil War,153,"A name that metamorphically hides itself in thy face as it surfaces above the smirk with dear sister Clara having had drowned in her own brotherly fantasies. William H. Lister, a man of men and men at the Bridgehead mark from the dog shooting rock off at the latest tapestery. ",0.047,0.101,0.851,-0.4588
